StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q8_1,Q9_1,mTurk,FL_11_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You are walking down the street when you come across a wallet lying on the ground. You open the wallet and find that it contains several hundred dollars in cash as well the owner's driver's license. From the credit cards and other items in the wallet it's very clear that the wallet's owner is wealthy. You, on the other hand, have been hit by hard times recently and could really use some extra money. You consider sending the wallet back to the owner without the cash, keeping the cash for yourself. 



How wrong is it for you to keep the money you found in the wallet in order to have more money for yourself? - How morally acceptable was your action?","You have a friend who has been trying to find a job lately without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. 

 

How wrong was it for your friend to put false information on his resume in order to help him find employment? - How morally acceptable was your friend's action?","You are walking down the street when you come across a wallet lying on the ground. You open the wallet and find that it contains several hundred dollars in cash as well the owner's driver's license. From the credit cards and other items in the wallet it's very clear that the wallet's owner is wealthy. You, on the other hand, have been hit by hard times recently and could really use some extra money. You consider sending the wallet back to the owner without the cash, keeping the cash for yourself. 



How wrong is it for you to keep the money you found in the wallet in order to have more money for yourself? - How morally acceptable was your action?","You have a friend who has been trying to find a job lately without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. 

 

How wrong was it for your friend to put false information on his resume in order to help him find employment? - How morally acceptable was your friend's action?",mTurk,FL_11 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""mTurk""}","{""ImportId"":""FL_11_DO""}"
2020-10-18 09:51:09,2020-10-18 09:51:51,IP Address,65.130.5.60,100,41,True,2020-10-18 09:51:52,R_3O2Kpi5VAJRQE6M,,,,,40.558197021484375,-111.92220306396484375,anonymous,EN,Morally Unacceptable (1),(2),,,76034041,ControlBlock
2020-10-18 09:55:57,2020-10-18 09:57:03,IP Address,69.121.34.230,100,66,True,2020-10-18 09:57:03,R_1GvNoryY8EyL7Kl,,,,,40.8948974609375,-74.0110015869140625,anonymous,EN,,,Morally Unacceptable (1),Morally Unacceptable (1),77338651,ExperimentalBlock
2020-10-18 09:58:22,2020-10-18 09:58:58,IP Address,69.122.213.90,100,36,True,2020-10-18 09:58:59,R_2UVqHlg1JWlq0Te,,,,,41.0630950927734375,-74.14369964599609375,anonymous,EN,,,(4),(6),65713021,ExperimentalBlock
2020-10-18 10:11:10,2020-10-18 10:12:31,IP Address,98.207.159.24,100,81,True,2020-10-18 10:12:32,R_1Ecebt6tElYTbbT,,,,,37.42449951171875,-122.2960052490234375,anonymous,EN,(3),(2),,,1003181,ControlBlock
2020-10-18 10:11:30,2020-10-18 10:12:52,IP Address,107.77.226.77,100,82,True,2020-10-18 10:12:53,R_2CHY0FLy0RJkYP2,,,,,40.70989990234375,-73.95909881591796875,anonymous,EN,,,(3),(3),15863378,ExperimentalBlock
2020-10-18 09:55:56,2020-10-18 10:13:40,IP Address,108.14.43.168,100,1064,True,2020-10-18 10:13:40,R_2vYzUwOXRiXRCmC,,,,,40.8000030517578125,-73.9763031005859375,anonymous,EN,(6),Morally Unacceptable (1),,,85763683,ControlBlock
2020-10-18 10:15:29,2020-10-18 10:16:45,IP Address,98.15.85.130,100,75,True,2020-10-18 10:16:45,R_1JPGMyYMobV5R9k,,,,,40.782806396484375,-73.9745025634765625,anonymous,EN,,,(3),(6),36364458,ExperimentalBlock
2020-10-18 10:22:21,2020-10-18 10:23:45,IP Address,68.173.103.66,100,84,True,2020-10-18 10:23:45,R_2ttGyPRjWDWIuiA,,,,,40.8390045166015625,-73.9459991455078125,anonymous,EN,(3),(3),,,74940121,ControlBlock
2020-10-18 10:24:49,2020-10-18 10:24:59,IP Address,68.173.103.66,100,10,True,2020-10-18 10:24:59,R_z20CcjEAS6nfqhP,,,,,40.8390045166015625,-73.9459991455078125,anonymous,EN,(2),Morally Unacceptable (1),,,37692767,ControlBlock
2020-10-18 10:26:42,2020-10-18 10:29:17,IP Address,96.246.86.12,100,154,True,2020-10-18 10:29:17,R_1mefdUZ8RLpb843,,,,,40.808807373046875,-73.91950225830078125,anonymous,EN,,,(2),(5),87522212,ExperimentalBlock
2020-10-18 10:27:43,2020-10-18 10:29:24,IP Address,173.68.153.17,100,101,True,2020-10-18 10:29:24,R_vMQ8qLmt4MWQsqR,,,,,40.947601318359375,-73.862396240234375,anonymous,EN,,,Morally Unacceptable (1),Morally Unacceptable (1),61733980,ExperimentalBlock
2020-10-18 10:29:07,2020-10-18 10:30:11,IP Address,172.251.251.123,100,63,True,2020-10-18 10:30:11,R_3en3KLwVMV5QaBG,,,,,33.517303466796875,-117.1208038330078125,anonymous,EN,(5),(2),,,32235855,ControlBlock
2020-10-18 10:31:27,2020-10-18 10:32:08,IP Address,107.77.225.90,100,41,True,2020-10-18 10:32:08,R_1hR0fhlNCPiWOHl,,,,,40.849395751953125,-73.90160369873046875,anonymous,EN,,,(2),Morally Unacceptable (1),49869845,ExperimentalBlock
2020-10-18 10:43:28,2020-10-18 10:44:25,IP Address,162.142.118.12,100,56,True,2020-10-18 10:44:25,R_31nMrdrnTP820V0,,,,,59.5381011962890625,-151.2400970458984375,anonymous,EN,,,(4),(2),5520910,ExperimentalBlock
2020-10-18 10:46:33,2020-10-18 10:47:20,IP Address,107.77.233.48,100,46,True,2020-10-18 10:47:20,R_xlQiMJxRBXcpuUh,,,,,33.8336029052734375,-84.37969970703125,anonymous,EN,Morally Unacceptable (1),(3),,,75740815,ControlBlock
2020-10-18 10:49:19,2020-10-18 10:49:51,IP Address,107.223.213.131,100,31,True,2020-10-18 10:49:51,R_3HMk1HCwCzMHd9l,,,,,37.4720001220703125,-122.231201171875,anonymous,EN,,,Morally Unacceptable (1),Morally Unacceptable (1),24137371,ExperimentalBlock
2020-10-18 10:49:45,2020-10-18 10:52:31,IP Address,176.255.42.255,100,165,True,2020-10-18 10:52:31,R_2WwKHaUcLHo4pDl,,,,,51.583404541015625,-0.07550048828125,anonymous,EN,,,Morally Unacceptable (1),(4),15919300,ExperimentalBlock
2020-10-18 10:56:37,2020-10-18 10:57:39,IP Address,86.164.121.116,100,61,True,2020-10-18 10:57:39,R_1LdR0a9A30pdfNs,,,,,51.3300018310546875,-0.4113006591796875,anonymous,EN,(5),(2),,,45100210,ControlBlock
2020-10-18 11:23:24,2020-10-18 11:25:08,IP Address,71.234.179.18,100,103,True,2020-10-18 11:25:08,R_2uqQ72FvCQ6PfQa,,,,,42.3654022216796875,-72.46710205078125,anonymous,EN,(3),(8),,,61850328,ControlBlock
2020-10-18 11:25:11,2020-10-18 11:25:52,IP Address,107.77.223.117,100,41,True,2020-10-18 11:25:52,R_2fI08fvJArQueIN,,,,,40.70989990234375,-73.95909881591796875,anonymous,EN,,,Morally Unacceptable (1),(4),38942783,ExperimentalBlock
2020-10-18 11:27:30,2020-10-18 11:29:02,IP Address,24.218.176.255,100,92,True,2020-10-18 11:29:02,R_3OkwVnCPZIxQ53Z,,,,,42.47479248046875,-71.44989776611328125,anonymous,EN,Morally Unacceptable (1),Morally Unacceptable (1),,,81953964,ControlBlock
2020-10-18 11:34:16,2020-10-18 11:35:49,IP Address,128.12.122.22,100,92,True,2020-10-18 11:35:49,R_2uwHKd5wvm7DK6S,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,Morally Unacceptable (1),(2),,,73322610,ControlBlock
2020-10-18 12:04:46,2020-10-18 12:05:20,IP Address,69.122.213.90,100,34,True,2020-10-18 12:05:20,R_6zzWwYqyoIkcdMZ,,,,,41.0630950927734375,-74.14369964599609375,anonymous,EN,,,(7),(3),93605376,ExperimentalBlock
